EMOTION,SAY
Happy,"행복은 습관이다, 그것을 몸에 지니라. - 허버드"
Happy,"만족할 줄 아는 사람은 진정한 부자이고, 탐욕스러운 사람은 진실로 가난한 사람이다. - 솔론"
Happy,모든 것이 기적이라고 여기는 방식이다. - 알베르트 아인슈타인
Happy,인생을 다시 산다면 다음번에는 더 많은 실수를 저지를 것이다. - 나딘 스테어
Happy,가난은 가난하다고 느끼는 곳에 존재한다. - 에머슨
Happy,가장 훌륭한 것은 성취감이다. - 소크라테스
Happy,행복은 그 자체로 보상이다. - 아리스토텔레스
Happy,가장 확실한 방법은 새로운 일에 도전하는 것이다. - 데일 카네기
Happy,삶이란 내가 즐기기로 결정한 모든 것이다. - 마라 브레이튼
Happy,성공은 가장 큰 즐거움이다. - 편스타인
Happy,모든 어둠 뒤엔 반드시 빛이 있다. - 킬리언
Happy,인생은 마음의 대화다. - 플라톤
Happy,가장 중요한 순간은 지금 이 순간이다. - 고스트 네리
Happy,꿈은 끝나지 않는 여행이다. - 로망 로랑
Happy,우리의 모든 꿈은 이루어진다. - 월트 디즈니
Angry,네 자신의 불행을 생각하지 않게 되는 가장 좋은 방법은 일에 몰두하는 것이다. - 베토벤
Angry,성공으로 가는 엘리베이터는 고장입니다. 당신은 계단을 이용해야만 합니다. - 조 지라드
Angry,"진정으로 웃으려면 고통을 참아야 하며, 나아가 고통을 즐길 줄 알아야 해. - 찰리 채플린"
Angry,"해야 할 것을 하라. 모든 것은 타인의 행복을 위해서, 동시에 특히 나의 행복을 위해서이다. - 톨스토이"
Angry,문제를 찾지 말고 해결책을 찾으라. - 헨리포드
Angry,빈 마음은 악마의 공간이다. - 윌리엄 셰익스피어
Angry,화는 가슴 속에 품고 있는 돌멩이다. - 펜디
Angry,화란 사람을 실망시키기 위해 채워진 장난감이다. - 조이스 매이어
Angry,화는 마음의 불꽃이다. - 헤로디커스
Angry,화는 모두에게 해로운 것이다. 화는 사랑을 처음으로 떠올리지 못한 것이다. - 엘레나 페레즈
Angry,진정으로 위대한 복수는 용서하는 것이다. - 아놀드 글래스고
Angry,매력 있는 사람은 자신의 적도 침묵하게 만든다. - 프란시스 베이컨
Angry,죽음은 소극적인 인생의 방법이다. - 조지 폴랙
Angry,화는 어리석은 사람의 진정한 지배자다. - 와싱턴 어빙
Angry,화는 속죄할 수 있는 가장 빠른 방법이다. - 미바
Neutral,인생에서 원하는 것을 얻기 위한 첫번째 단계는 내가 무엇을 원하는지 결정하는 것이다. - 벤스타인
Neutral,"문제는 목적지에 얼마나 빨리 가느냐가 아니라, 그 목적지가 어디냐는 것이다. - 메이벨 뉴컴버"
Neutral,길을 잃는 다는 것은 곧 길을 알게 된다는 것이다. - 동아프리카 속담
Neutral,"삶을 사는 데는 단 두가지 방법이 있다. 하나는 기적이 전혀 없다고 여기는 것이고, 또 다른 하나는 모든 것이 기적이라고 여기는 방식이다. - 알베르트 아인슈타인"
Neutral,자신의 본성이 어떤 것이든 그에 충실하라. 자신이 가진 재능의 끈을 놓아 버리지 마라. - 시드니 스미스
Neutral,목표가 있기에 삶이 가치있는 것이다. - 나폴레옹 힐
Neutral,저마다 다른 여행자들이 도착하는 곳은 다르다. - 마르쿠스 아우렐리우스
Neutral,"변화가 필요하다면, 변화를 이루어내야 한다. - 윌리엄 제임스"
Neutral,인생은 결국 마음의 태도에 달려있다. - 에머슨
Neutral,어려움은 인내력을 검증한다. - 솔론
Neutral,모든 책은 동시대의 무덤이다. - 톨스토이
Neutral,모든 사람은 나의 선생님이다. - 희곡
Neutral,"사람들은 그들이 볼 것만 보고, 그들이 이해할 것만 이해한다. - 고이테"
Neutral,모든 인생은 자신의 임무와 운명을 알기 위한 노력이다. - 고이테
Neutral,우리가 가진 가장 큰 소중한 것은 시간이다. - 푸코
Sad,"삶은 소유물이 아니라 순간 순간의 있음이다. 영원한 것이 어디 있는가? 모두가 한때일뿐 그러나 그 한때를 최선을 다해 최대한으로 살 수 있어야 한다. 삶은 놀라운 신비요 아름다움이다. - 법정스님, '버리고 떠나기'"
Sad,내가 헛되이 보낸 오늘은 어제 죽어간 이들이 그토록 바라던 하루이다. 단 하루면 인간적인 모든 것을 멸망시킬 수도 다시 소생시킬 수도 있다. - 소포클레스
Sad,고개 숙이지 마십시오. 세상을 똑바로 정면으로 바라보십시오. - 헬렌 켈러
Sad,행복의 한 쪽 문이 닫히면 다른 쪽 문이 열린다. 그러나 흔히 우리는 닫혀진 문을 오랫동안 보기 때문에 우리를 위해 열려 있는 문을 보지 못한다. - 헬렌 켈러
Sad,도저히 손댈 수가 없는 곤란에 부딪혔다면 과감하게 그 속으로 뛰어들라. 그리하면 불가능하다고 생각했던 일이 가능해진다.
Sad,슬픔은 나의 영혼에 비 온후에 남은 갈대같은 것이다. - 글리그
Sad,슬픔은 마음을 강하게 만들어 준다. - 키케로
Sad,슬픔은 지혜의 마음을 얻는 길이다. - 알베르트 아인슈타인
Sad,슬픔은 마음을 깨끗하게 한다. - 고타마 부다
Sad,슬픔은 삶의 귀중한 일부분이다. - 알프레드 노스 화이트헤드
Sad,눈물은 삶의 가장 강력한 언어다. - 와시스케
Sad,가장 아름다운 꽃들은 가장 깊은 덤불 속에서 자란다. - 스콧 니더웰
Sad,인간은 자신의 고통이나 슬픔을 침묵 속에 매장시키는 법을 배워야 한다. - 에릭 프롬
Sad,슬픔은 인간을 더욱 인간답게 만든다. - 마크 트웨인
Sad,슬픔은 우리의 영혼에 있는 꽃이다. - 키르케고르
Surprise,만약 우리가 할 수 있는 일을 모두 한다면 우리들은 우리 자신에게 깜짝 놀랄 것이다. - 에디슨
Surprise,"문제는 목적지에 얼마나 빨리 가느냐가 아니라, 그 목적지가 어디냐는 것이다. - 메이벨 뉴컴버"
Surprise,"만족할 줄 아는 사람은 진정한 부자이고, 탐욕스러운 사람은 진실로 가난한 사람이다. - 솔론"
Surprise,한번의 실패와 영원한 실패를 혼동하지 마라. - F.스콧 핏제랄드
Surprise,당신의 행복은 무엇이 당신의 영혼을 노래하게 하는가에 따라 결정된다. - 낸시 설리번
Surprise,생각하기 시작하면 용기가 생긴다. - 에우리피데스
Surprise,우리가 가장 행복해할 때가 제일 놀라운 것이다. - 마르셀 프루스트
Surprise,모든 여행은 놀라움의 출발점이다. - 솔론
Surprise,우리가 가진 가장 큰 놀라움은 자연의 영원성이다. - 레온하르트 오일러
Surprise,모든 작품의 탄생은 놀라움에서 비롯된다. - 헤로도토스
Surprise,무엇이 가능한지를 꿈꾸는 사람만이 가능한 일을 이룰 수 있다. - 피터 드러커
Surprise,우리의 이해는 우리의 놀라움에 의해 한계가 정해진다. - 조지 베르나드 쇼
Surprise,가장 큰 혁신은 가장 간단한 것에서 비롯된다. - 알버트 아인슈타인
Surprise,모든 걸 아는 것은 스스로를 아는 것에 비하면 아무것도 아니다. - 소크라테스
Surprise,놀라움은 모든 진실의 문이다. - 랠프 왈도 에머슨
